,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,instant_bookable
145,3250,within a day,40,68,1,bunglow,Entire home/apt,4,2,185,3,3,0,21,Available
146,3287,within an hour,100,81,8,cottage,Entire home/apt,3,5,275,7,1124,77,134,Available
147,3269,within a day,40,100,1,cabin,Entire home/apt,2,1,45,4,7,0,18,Available
148,3240,within a day,40,0,1,condo,Entire home/apt,2,1,304,2,100,363,24,Available
149,3236,within a day,40,0,1,cottage,Entire home/apt,2,1,109,3,7,40,123,Not Available
150,3235,within a day,40,68,2,chalet,Entire home/apt,2,1,140,4,21,0,52,Not Available
151,3234,within a day,100,80,1,studio apartment,Entire home/apt,4,2,220,3,60,61,105,Not Available
152,3233,within a day,40,33,1,chalet,Entire home/apt,4,3,175,4,30,214,33,Available
153,3252,within a day,40,68,1,cabin,Entire home/apt,2,1,149,4,45,0,9,Not Available
154,3232,within an hour,100,100,2,cabin,Private room,3,3,69,2,30,365,398,Available
155,3349,within a day,40,100,1,chalet,Private room,3,2,100,2,30,364,239,Not Available
156,3230,within a day,40,68,1,tent,Entire home/apt,2,1,105,5,7,0,73,Not Available
157,3228,within a day,100,100,3,bunglow,Entire home/apt,4,3,275,3,1125,336,77,Available
158,3227,within a day,40,0,1,cabin,Entire home/apt,4,3,179,3,60,1,60,Not Available
159,4031,within a day,40,68,1,tent,Entire home/apt,4,3,175,3,14,88,18,Available
160,3262,within a day,40,68,1,studio apartment,Entire home/apt,2,1,110,3,30,0,46,Available
161,3220,within a day,40,100,1,cottage,Entire home/apt,2,2,175,3,14,0,31,Not Available
162,3506,within a day,40,100,16,chalet,Entire home/apt,4,1,150,2,12,0,193,Not Available
163,3218,within a day,40,68,1,chalet,Entire home/apt,2,1,160,2,60,0,149,Available
164,3213,within a few hours,100,14,1,bunglow,Entire home/apt,2,1,125,3,30,0,28,Available
165,3210,within a day,40,68,1,bunglow,Entire home/apt,2,1,150,2,1125,0,19,Available
166,3400,within a day,71,93,2,villa,Private room,2,1,85,2,14,331,438,Not Available
167,3208,within a day,40,68,1,tent,Private room,2,1,100,2,14,0,38,Available
168,3208,within a day,40,68,1,chalet,Entire home/apt,4,3,200,3,100,0,54,Available
169,3205,within a day,40,68,1,studio apartment,Entire home/apt,5,4,79,2,14,0,96,Available
170,3208,within a day,40,68,1,tent,Entire home/apt,4,2,225,3,15,365,16,Not Available
171,3201,within a day,40,68,1,tent,Private room,2,1,132,1,31,50,31,Available
172,3197,within a day,40,50,1,chalet,Entire home/apt,2,1,169,5,1125,87,23,Available
173,3197,within a day,40,68,1,cabin,Entire home/apt,5,3,120,5,22,0,11,Not Available
174,3322,a few days or more,0,100,2,villa,Entire home/apt,4,5,299,3,30,365,60,Not Available
175,3196,within a day,40,100,2,studio apartment,Private room,3,3,120,3,21,365,127,Available
176,3196,within a day,40,100,3,chalet,Entire home/apt,2,1,76,6,15,0,94,Not Available
177,3287,within an hour,100,81,8,cottage,Entire home/apt,7,8,729,7,1124,139,110,Not Available
178,3191,within a day,40,60,2,chalet,Entire home/apt,2,1,120,5,60,0,6,Available
179,3191,within a day,40,68,1,bunglow,Private room,4,2,120,2,20,365,2,Available
180,3190,within an hour,100,10,0,condo,Entire home/apt,4,1,159,5,30,88,77,Not Available
181,3255,within a day,40,68,1,cottage,Entire home/apt,5,3,120,6,6,0,0,Available
182,3189,within a day,40,17,2,bunglow,Entire home/apt,2,1,160,3,1125,0,23,Not Available
183,3187,within a day,40,68,1,villa,Entire home/apt,4,3,180,5,365,0,23,Available
184,3184,within a day,40,100,1,bunglow,Private room,2,1,110,2,30,343,202,Not Available
185,3180,a few days or more,0,100,0,cottage,Entire home/apt,2,0,110,2,20,21,31,Not Available
186,3690,within a few hours,100,100,1,condo,Entire home/apt,4,2,140,5,30,1,57,Available
187,3176,within a day,40,68,1,condo,Entire home/apt,4,4,139,4,21,0,7,Not Available
188,3219,within a day,40,100,1,bunglow,Entire home/apt,4,1,309,4,4,365,112,Available
189,3173,within a day,40,67,1,cabin,Entire home/apt,6,5,150,1,28,0,43,Available
190,3173,within a day,40,68,1,cottage,Entire home/apt,2,1,110,2,1125,0,23,Available
191,3200,within a day,40,68,2,condo,Entire home/apt,2,1,50,5,30,0,18,Available
192,3334,within a day,40,100,2,tent,Entire home/apt,4,3,1750,21,60,365,31,Available
193,3568,within a day,40,0,1,villa,Entire home/apt,2,1,80,2,30,194,162,Not Available
194,3170,within a day,40,68,1,chalet,Entire home/apt,2,2,107,2,28,0,10,Available
195,3286,within a day,40,68,1,bunglow,Entire home/apt,4,2,120,1,30,0,22,Not Available
196,3169,within a few hours,100,68,2,bunglow,Entire home/apt,2,1,179,4,1125,362,20,Available
197,3167,within a day,40,68,1,chalet,Entire home/apt,4,4,195,4,20,0,5,Available
